episode,rewards,lengths,successes
875,1.0,20,True
876,-2.0,23,True
877,-20.0,32,True
878,-26.0,47,True
879,9.0,12,True
880,11.0,10,True
881,5.0,16,True
882,11.0,10,True
883,14.0,7,True
884,-20.0,41,True
885,5.0,16,True
886,12.0,9,True
887,5.0,16,True
888,10.0,11,True
889,-16.0,37,True
890,-39.0,60,True
891,-8.0,29,True
892,-16.0,37,True
893,-7.0,19,True
894,-20.0,41,True
895,7.0,14,True
896,9.0,12,True
897,11.0,10,True
898,10.0,11,True
899,-49.0,61,True
900,-1.0,22,True
901,11.0,10,True
902,-19.0,40,True
903,-42.0,54,True
904,-1.0,22,True
905,5.0,16,True
906,-39.0,51,True
907,-63.0,75,True
908,-3.0,15,True
909,-6.0,27,True
910,-2.0,23,True
911,10.0,11,True
912,8.0,13,True
913,13.0,8,True
914,-5.0,26,True
915,-2.0,23,True
916,-3.0,24,True
917,2.0,19,True
918,-4.0,25,True
919,11.0,10,True
920,14.0,7,True
921,1.0,20,True
922,8.0,13,True
923,11.0,10,True
924,-20.0,41,True
925,-32.0,53,True
926,3.0,18,True
927,-3.0,24,True
928,7.0,14,True
929,13.0,8,True
930,0.0,21,True
931,6.0,15,True
932,11.0,10,True
933,-6.0,27,True
934,-15.0,36,True
935,-29.0,50,True
936,0.0,21,True
937,7.0,14,True
938,3.0,18,True
939,1.0,20,True
940,13.0,8,True
941,-7.0,28,True
942,-38.0,59,True
943,5.0,16,True
944,5.0,16,True
945,3.0,18,True
946,-53.0,74,True
947,-2.0,23,True
948,-9.0,21,True
949,11.0,10,True
950,6.0,15,True
951,-20.0,41,True
952,12.0,9,True
953,12.0,9,True
954,-31.0,52,True
955,11.0,10,True
956,-16.0,28,True
957,9.0,12,True
958,11.0,10,True
959,-7.0,28,True
960,10.0,11,True
961,9.0,12,True
962,-3.0,24,True
963,5.0,16,True
964,12.0,9,True
965,4.0,17,True
966,-60.0,81,True
967,1.0,20,True
968,-19.0,40,True
969,4.0,17,True
970,11.0,10,True
971,12.0,9,True
972,10.0,11,True
973,1.0,20,True
974,8.0,13,True
975,-3.0,24,True
976,11.0,10,True
977,4.0,17,True
978,10.0,11,True
979,-23.0,44,True
980,7.0,14,True
981,-2.0,23,True
982,12.0,9,True
983,10.0,11,True
984,7.0,14,True
985,8.0,13,True
986,-5.0,26,True
987,-26.0,47,True
988,9.0,12,True
989,-4.0,25,True
990,-30.0,51,True
991,0.0,21,True
992,-3.0,24,True
993,4.0,17,True
994,8.0,13,True
995,10.0,11,True
996,-16.0,37,True
997,-32.0,53,True
998,2.0,19,True
999,6.0,15,True
1000,13.0,8,True
1001,3.0,18,True
1002,11.0,10,True
1003,7.0,14,True
1004,7.0,14,True
1005,8.0,13,True
1006,7.0,14,True
1007,3.0,18,True
1008,-2.0,23,True
1009,-15.0,36,True
1010,12.0,9,True
1011,5.0,16,True
1012,6.0,15,True
1013,2.0,19,True
1014,0.0,12,True
1015,10.0,11,True
1016,9.0,12,True
1017,9.0,12,True
1018,9.0,12,True
1019,-4.0,25,True
1020,-26.0,47,True
1021,8.0,13,True
1022,14.0,7,True
1023,6.0,15,True
1024,4.0,17,True
1025,11.0,10,True
1026,13.0,8,True
1027,10.0,11,True
1028,10.0,11,True
1029,-23.0,44,True
1030,1.0,20,True
1031,-4.0,25,True
1032,8.0,13,True
1033,12.0,9,True
1034,6.0,15,True
1035,9.0,12,True
1036,11.0,10,True
1037,-29.0,50,True
1038,12.0,9,True
1039,4.0,17,True
1040,10.0,11,True
1041,8.0,13,True
1042,10.0,11,True
1043,-29.0,50,True
1044,8.0,13,True
1045,10.0,11,True
1046,4.0,17,True
1047,-16.0,37,True
1048,11.0,10,True
1049,8.0,13,True
1050,-15.0,36,True
1051,-15.0,36,True
1052,-10.0,31,True
1053,3.0,18,True
1054,4.0,17,True
1055,10.0,11,True
1056,13.0,8,True
